Output Area Code,Ward name,Ward Census Code,Local Authority Name,Local Authority Code,Supergroup Code,Supergroup Name,Group Code,Group Name,Subgroup Code,Subgroup Name
E00090512,Abbey,E05002702,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090513,Abbey,E05002702,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090514,Abbey,E05002702,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090515,Abbey,E05002702,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Social Renting Young Families
E00090516,Abbey,E05002702,Cambridge,E07000008,5,Urbanites,5a,Urban Professionals and Families,5a3,Families in Terraces and Flats 
E00090517,Abbey,E05002702,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090518,Abbey,E05002702,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090519,Abbey,E05002702,Cambridge,E07000008,8,Hard-Pressed Living,8d,Migration and Churn,8d2,Hard-Pressed Ethnic Mix
E00090520,Abbey,E05002702,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00090521,Abbey,E05002702,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090522,Abbey,E05002702,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Social Renting Young Families
E00090523,Abbey,E05002702,Cambridge,E07000008,7,Constrained City Dwellers,7a,Challenged Diversity,7a3,Multi-Ethnic Hardship
E00090524,Abbey,E05002702,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090525,Abbey,E05002702,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Social Renting Young Families
E00090526,Abbey,E05002702,Cambridge,E07000008,2,Cosmopolitans,2d,Aspiring and Affluent,2d1,Urban Cultural Mix
E00090527,Abbey,E05002702,Cambridge,E07000008,3,Ethnicity Central,3a,Ethnic Family Life,3a1,Established Renting Families
E00090528,Abbey,E05002702,Cambridge,E07000008,2,Cosmopolitans,2a,Students Around Campus,2a3,Students and Professionals
E00090529,Abbey,E05002702,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Social Renting Young Families
E00090530,Abbey,E05002702,Cambridge,E07000008,3,Ethnicity Central,3d,Aspirational Techies,3d3,Old EU Tech Workers
E00090531,Abbey,E05002702,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
E00090532,Abbey,E05002702,Cambridge,E07000008,7,Constrained City Dwellers,7a,Challenged Diversity,7a2,Hampered Aspiration
E00090533,Abbey,E05002702,Cambridge,E07000008,4,Multicultural Metropolitans,4c,Asian Traits,4c1,Achieving Minorities
E00090534,Abbey,E05002702,Cambridge,E07000008,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Private Renting New Arrivals
