Ward Code,Ward,Local Authority,Total residents,England,Northern Ireland,Scotland,Wales,UK not otherwise specified,Other EU total,Other countries
E05002702,Abbey,Cambridge,9907,7127,41,149,72,2,1119,1397
E05002703,Arbury,Cambridge,9070,6116,57,184,62,1,1160,1490
E05002704,Castle,Cambridge,9785,6100,102,207,127,1,1145,2103
E05002705,Cherry Hinton,Cambridge,8780,6235,44,156,55,1,686,1603
E05002706,Coleridge,Cambridge,9386,6227,47,174,78,2,1086,1772
E05002707,East Chesterton,Cambridge,9405,6695,64,190,64,0,1095,1297
E05002708,King's Hedges,Cambridge,9142,6534,53,149,64,4,1060,1278
E05002709,Market,Cambridge,7150,4453,101,176,80,1,814,1525
E05002710,Newnham,Cambridge,7867,4523,86,178,107,1,1017,1955
E05002711,Petersfield,Cambridge,8333,5241,51,170,84,0,1107,1680
E05002712,Queen Edith's,Cambridge,9127,6276,64,220,116,0,851,1600
E05002713,Romsey,Cambridge,9252,6211,58,201,81,3,1214,1484
E05002714,Trumpington,Cambridge,8034,5359,53,177,110,0,819,1516
E05002715,West Chesterton,Cambridge,8629,5783,68,186,84,0,1125,1383
E05002716,Bottisham,East Cambridgeshire,4014,3526,20,75,47,0,122,224
E05002717,Burwell,East Cambridgeshire,6309,5688,24,95,57,0,155,290
E05002718,Cheveley,East Cambridgeshire,4102,3578,21,95,37,2,149,220
E05002719,Downham Villages,East Cambridgeshire,4424,4117,14,45,36,0,90,122
E05002720,Dullingham Villages,East Cambridgeshire,2253,1929,6,45,19,0,111,143
E05002721,Ely East,East Cambridgeshire,4030,3217,20,84,24,0,262,423
E05002722,Ely North,East Cambridgeshire,7318,6021,20,127,59,0,472,619
E05002723,Ely South,East Cambridgeshire,4453,3702,17,119,42,0,232,341
E05002724,Ely West,East Cambridgeshire,4455,3759,15,82,55,0,250,294
E05002725,Fordham Villages,East Cambridgeshire,3768,3321,10,66,39,0,103,229
E05002726,Haddenham,East Cambridgeshire,5929,5451,17,101,57,0,115,188
E05002727,Isleham,East Cambridgeshire,2378,2128,5,31,13,0,49,152
E05002728,Littleport East,East Cambridgeshire,5291,4600,21,80,36,0,211,343
E05002729,Littleport West,East Cambridgeshire,3447,3039,10,59,16,0,158,165
E05002730,Soham North,East Cambridgeshire,5170,4523,9,54,33,0,317,234
E05002731,Soham South,East Cambridgeshire,6529,5665,15,71,40,0,479,259
E05002732,Stretham,East Cambridgeshire,3971,3541,20,56,32,1,117,204
E05002733,Sutton,East Cambridgeshire,3952,3586,11,67,29,0,107,152
E05002734,The Swaffhams,East Cambridgeshire,2025,1813,4,37,30,0,41,100
E05002735,Bassenhally,Fenland,1548,1448,8,17,16,0,43,16
E05002736,"Benwick, Coates and Eastrea",Fenland,4450,4143,16,74,39,0,79,99
E05002737,Birch,Fenland,2512,2300,6,45,16,0,83,62
E05002738,Clarkson,Fenland,2331,1729,6,12,10,0,480,94
E05002739,Delph,Fenland,2002,1851,9,17,16,0,53,56
E05002740,Doddington,Fenland,2181,2012,10,37,22,0,50,50
E05002741,Elm and Christchurch,Fenland,4795,4481,17,48,28,0,134,87
E05002742,Hill,Fenland,5308,4290,6,34,14,0,830,134
E05002743,Kingsmoor,Fenland,1697,1595,5,24,5,0,34,34
E05002744,Kirkgate,Fenland,2300,1966,2,21,11,0,237,63
E05002745,Lattersey,Fenland,2460,2312,9,28,15,1,46,49
E05002746,Manea,Fenland,2088,1934,7,20,14,0,53,60
E05002747,March East,Fenland,7430,6716,17,73,41,0,390,193
E05002748,March North,Fenland,7835,7026,29,88,48,0,357,287
E05002749,March West,Fenland,7033,6524,34,82,50,1,210,132
E05002750,Medworth,Fenland,2585,1896,6,27,9,1,535,111
E05002751,Parson Drove and Wisbech St Mary,Fenland,4895,4602,13,65,21,0,103,91
E05002752,Peckover,Fenland,2371,2035,2,23,12,0,244,55
E05002753,Roman Bank,Fenland,6305,5853,19,70,39,0,219,105
E05002756,Slade Lode,Fenland,2577,2273,12,44,24,0,149,75
E05002754,St Andrews,Fenland,2506,2377,5,18,18,0,39,49
