Ward Code,Ward,Local Authority,Detached house or bungalow (Accommodation),Semi-detached house or bungalow (Accommodation),Terraced house or bungalow (Accommodation),Flat maisonette or apartment (Accommodation),Caravan or other mobile or temporary structure (Accommodation),Owner occupied (total) (Tenure),Owner occupied- owned outright (Tenure),Owner occupied - owned with a mortgage (Tenure),Owner occupied - owned as shared ownership (Tenure),Rented from Local Authority (Tenure),Rented from Housing Association or Registered Social Landlord (Tenure),Rented privately/other (Tenure),Lives rent free (Tenure)
E05002702,Abbey,Cambridge,153,1546,1070,1313,7,1732,719,985,28,1145,302,861,66
E05002703,Arbury,Cambridge,443,1154,1117,1164,1,1862,1045,783,34,1051,63,846,64
E05002704,Castle,Cambridge,346,541,539,616,0,1180,718,457,5,95,151,619,37
E05002705,Cherry Hinton,Cambridge,499,1486,872,818,1,2156,1067,1075,14,739,189,548,44
E05002706,Coleridge,Cambridge,219,1352,726,1462,3,1777,848,905,24,745,170,1049,47
E05002707,East Chesterton,Cambridge,283,1405,1043,1266,32,1646,769,787,90,473,983,895,41
E05002708,King's Hedges,Cambridge,238,987,1396,1293,1,1687,617,935,135,1293,242,646,50
E05002709,Market,Cambridge,61,84,751,690,30,619,411,193,15,79,133,776,54
E05002710,Newnham,Cambridge,445,167,438,649,1,948,692,248,8,28,124,560,51
E05002711,Petersfield,Cambridge,100,352,1791,1087,1,1447,725,705,17,282,249,1344,44
E05002712,Queen Edith's,Cambridge,952,1169,519,631,1,2068,1214,835,19,347,380,566,63
E05002713,Romsey,Cambridge,158,813,2001,859,0,1855,781,1044,30,360,178,1426,38
E05002714,Trumpington,Cambridge,594,537,826,1427,1,1724,931,696,97,346,403,906,93
E05002715,West Chesterton,Cambridge,399,1088,952,1235,1,1996,1102,884,10,126,347,1216,44
E05002716,Bottisham,East Cambridgeshire,680,578,236,71,1,1112,611,484,17,16,219,190,29
E05002717,Burwell,East Cambridgeshire,1326,691,434,174,4,2074,988,1066,20,34,272,207,44
