Ward Code,Ward,Local Authority,ethnicity (White British),ethnicity (White Irish),ethnicity (White: Gypsy and Traveller),ethnicity (White Other),ethnicity (Mixed - White and Black African),ethnicity (Mixed- White and Black Caribbean),ethnicity (Mixed - White and Asian),ethnicity (Mixed - Other mixed),ethnicity (Asian or Asian British - Indian),ethnicity (Asian or Asian British - Pakistani),ethnicity (Asian or Asian British - Bangladeshi),ethnicity (Asian or Asian British - Chinese),ethnicity (Asian or Asian British - Other Asian),ethnicity (Black/African/Caribbean/Black British - African),ethnicity (Black/African/Caribbean/Black British - Caribbean),ethnicity (Black/African/Caribbean/Black British - Other black),Percentage of total population (Black/African/Caribbean/Black British - Other black),ethnicity (Other ethnic group),White ethnicity,Non-White ethnicity,population (all ethniticities)
E05002702,Abbey,Cambridge,6708,90,25,1406,48,93,94,116,235,58,152,182,170,124,103,34,0.3,269,8229,1678,9907
E05002703,Arbury,Cambridge,5893,100,14,1456,39,62,103,92,131,35,398,254,215,95,64,18,0.2,101,7463,1607,9070
E05002704,Castle,Cambridge,6093,172,9,1586,38,23,201,96,339,69,40,640,286,48,26,7,0.1,112,7860,1925,9785
E05002705,Cherry Hinton,Cambridge,6003,85,1,833,31,54,81,75,488,61,122,275,373,109,23,15,0.2,151,6922,1858,8780
E05002706,Coleridge,Cambridge,5968,160,5,1312,49,75,101,83,308,53,169,409,275,114,67,11,0.1,227,7445,1941,9386
E05002707,East Chesterton,Cambridge,6590,121,20,1344,42,61,60,80,174,21,261,151,153,96,34,14,0.1,183,8075,1330,9405
E05002708,King's Hedges,Cambridge,6225,95,14,1205,49,81,61,93,245,76,241,211,198,160,72,21,0.2,95,7539,1603,9142
E05002709,Market,Cambridge,4578,101,3,1194,21,28,133,80,172,41,20,401,172,85,14,6,0.1,101,5876,1274,7150
E05002710,Newnham,Cambridge,4694,89,4,1539,26,23,107,107,243,63,17,527,243,52,15,5,0.1,113,6326,1541,7867
E05002711,Petersfield,Cambridge,5227,157,3,1487,32,41,127,104,188,61,62,346,201,80,35,13,0.2,169,6874,1459,8333
E05002712,Queen Edith's,Cambridge,6232,159,1,1065,20,33,119,87,367,64,115,304,297,83,27,20,0.2,134,7457,1670,9127
E05002713,Romsey,Cambridge,6105,207,2,1496,28,67,106,88,199,60,174,194,198,102,60,17,0.2,149,7810,1442,9252
E05002714,Trumpington,Cambridge,5470,115,5,1137,21,41,107,76,181,63,20,373,197,67,36,11,0.1,114,6727,1307,8034
E05002715,West Chesterton,Cambridge,5956,116,3,1527,26,46,101,68,143,17,58,187,182,85,22,7,0.1,85,7602,1027,8629
E05002716,Bottisham,East Cambridgeshire,3678,20,0,156,7,6,15,10,12,5,4,28,58,2,0,6,0.1,7,3854,160,4014
E05002717,Burwell,East Cambridgeshire,5895,27,7,214,8,4,32,28,15,4,2,26,20,6,1,5,0.1,15,6143,166,6309
E05002718,Cheveley,East Cambridgeshire,3751,65,4,171,8,10,18,9,9,14,2,6,7,7,2,5,0.1,14,3991,111,4102
E05002719,Downham Villages,East Cambridgeshire,4206,11,15,104,0,8,17,9,16,0,0,0,16,9,4,2,0,7,4336,88,4424
E05002720,Dullingham Villages,East Cambridgeshire,2031,34,5,130,1,1,10,10,6,1,1,6,6,5,1,4,0.2,1,2200,53,2253
E05002721,Ely East,East Cambridgeshire,3355,35,1,353,5,19,26,30,30,8,8,49,56,30,5,2,0,18,3744,286,4030
E05002722,Ely North,East Cambridgeshire,6014,55,18,760,33,21,47,63,45,13,21,34,52,64,18,26,0.4,34,6847,471,7318
E05002723,Ely South,East Cambridgeshire,3815,35,10,334,10,28,20,29,23,9,5,39,33,33,6,7,0.2,17,4194,259,4453
E05002724,Ely West,East Cambridgeshire,3900,30,4,323,3,11,22,22,25,5,5,20,22,23,2,9,0.2,29,4257,198,4455
E05002725,Fordham Villages,East Cambridgeshire,3435,23,16,184,2,18,12,19,8,0,0,10,12,4,4,8,0.2,13,3658,110,3768
E05002726,Haddenham,East Cambridgeshire,5583,21,53,135,10,11,7,18,14,0,0,11,36,13,4,7,0.1,6,5792,137,5929
E05002727,Isleham,East Cambridgeshire,2173,9,9,111,4,8,17,12,2,0,0,7,7,3,8,6,0.3,2,2302,76,2378
E05002728,Littleport East,East Cambridgeshire,4716,37,9,298,20,30,22,12,35,8,19,12,26,21,4,6,0.1,16,5060,231,5291
E05002729,Littleport West,East Cambridgeshire,3116,12,9,196,6,8,15,10,11,10,1,3,12,8,6,9,0.3,15,3333,114,3447
E05002730,Soham North,East Cambridgeshire,4597,27,19,383,14,14,7,20,15,10,1,8,9,18,7,10,0.2,11,5026,144,5170
E05002731,Soham South,East Cambridgeshire,5732,27,22,511,34,6,38,38,22,7,0,12,21,26,10,5,0.1,18,6292,237,6529
E05002732,Stretham,East Cambridgeshire,3636,30,24,130,8,17,15,35,17,4,1,10,12,12,5,5,0.1,10,3820,151,3971
E05002733,Sutton,East Cambridgeshire,3699,10,13,135,11,3,19,12,5,4,10,1,13,3,6,1,0,7,3857,95,3952
E05002734,The Swaffhams,East Cambridgeshire,1886,19,1,61,1,7,11,11,6,1,0,8,8,1,2,0,0,2,1967,58,2025
E05002735,Bassenhally,Fenland,1491,6,1,29,0,0,3,4,7,0,0,1,1,1,4,0,0,0,1527,21,1548
E05002736,"Benwick, Coates and Eastrea",Fenland,4249,16,5,61,4,21,15,10,20,0,0,15,16,0,15,1,0,2,4331,119,4450
E05002737,Birch,Fenland,2368,12,8,59,4,5,10,9,8,0,0,5,10,7,3,0,0,4,2447,65,2512
E05002738,Clarkson,Fenland,1727,11,11,476,3,5,15,11,34,1,0,6,13,7,5,4,0.2,2,2225,106,2331
E05002739,Delph,Fenland,1890,5,1,43,2,16,2,4,18,1,6,2,6,4,2,0,0,0,1939,63,2002
E05002740,Doddington,Fenland,2089,14,8,33,4,5,6,2,1,0,1,0,10,2,4,0,0,2,2144,37,2181
E05002741,Elm and Christchurch,Fenland,4479,19,99,111,7,11,12,4,5,0,0,12,9,10,8,5,0.1,4,4708,87,4795
E05002742,Hill,Fenland,4310,19,12,826,4,15,16,14,23,0,5,13,16,9,3,2,0,21,5167,141,5308
E05002743,Kingsmoor,Fenland,1617,4,7,17,3,5,9,2,9,0,0,5,5,5,1,0,0,8,1645,52,1697
E05002744,Kirkgate,Fenland,1982,7,2,244,1,6,3,8,1,0,2,4,27,5,2,3,0.1,3,2235,65,2300
E05002745,Lattersey,Fenland,2368,8,2,37,4,5,2,5,2,7,0,6,4,3,2,0,0,5,2415,45,2460
E05002746,Manea,Fenland,1989,10,6,50,1,5,1,9,3,0,0,0,3,1,4,3,0.1,3,2055,33,2088
E05002747,March East,Fenland,6831,37,6,380,1,20,13,23,22,0,18,10,27,12,7,18,0.2,5,7254,176,7430
E05002748,March North,Fenland,7027,48,24,316,16,41,17,35,15,42,17,26,45,54,53,36,0.5,23,7415,420,7835
E05002749,March West,Fenland,6662,30,10,171,5,8,23,10,30,0,0,21,22,9,21,7,0.1,4,6873,160,7033
E05002750,Medworth,Fenland,1903,15,10,527,6,18,4,15,22,0,4,19,11,7,3,3,0.1,18,2455,130,2585
E05002751,Parson Drove and Wisbech St Mary,Fenland,4570,11,95,90,2,17,21,11,20,1,1,13,23,9,6,1,0,4,4766,129,4895
E05002752,Peckover,Fenland,2036,8,14,247,4,12,5,8,7,0,0,9,5,12,2,0,0,2,2305,66,2371
E05002753,Roman Bank,Fenland,5960,34,29,182,4,10,9,6,24,0,0,7,15,12,5,3,0,5,6205,100,6305
E05002756,Slade Lode,Fenland,2324,10,29,146,6,4,6,7,7,0,0,5,9,15,3,1,0,5,2509,68,2577
E05002754,St Andrews,Fenland,2417,6,4,41,2,5,6,2,13,0,0,2,4,0,1,0,0,3,2468,38,2506
E05002755,St Marys,Fenland,2410,11,6,55,5,10,8,4,1,1,0,3,7,6,2,2,0.1,1,2482,50,2532
E05002757,Staithe,Fenland,2093,3,12,256,2,2,5,4,5,1,0,3,6,1,2,0,0,9,2364,40,2404
E05002758,The Mills,Fenland,2527,10,0,89,2,7,15,3,2,4,0,11,19,6,8,2,0.1,1,2626,80,2706
E05002759,Waterlees,Fenland,4277,9,34,1021,7,21,23,17,36,6,11,16,19,10,12,2,0,21,5341,201,5542
E05002760,Wenneye,Fenland,2486,11,20,66,4,7,10,8,15,1,0,1,12,6,7,2,0.1,2,2583,75,2658
E05002761,Wimblington,Fenland,2069,16,12,50,1,12,5,5,22,0,0,0,14,3,1,0,0,1,2147,64,2211
E05008525,Alconbury and The Stukeleys,Huntingdonshire,3048,37,6,379,14,20,25,34,23,1,0,5,28,25,5,44,1.2,15,3470,239,3709
E05002763,Brampton,Huntingdonshire,6345,56,17,345,20,36,25,31,47,11,40,23,47,82,90,46,0.6,27,6763,525,7288
E05008526,Buckden,Huntingdonshire,3113,17,0,109,4,1,11,8,3,1,1,6,8,0,3,3,0.1,5,3239,54,3293
E05008527,Earith,Huntingdonshire,5854,34,4,114,5,17,19,10,9,3,0,12,29,4,8,1,0,3,6006,120,6126
E05008576,Ellington,Huntingdonshire,2870,14,12,185,1,10,27,12,2,1,0,7,13,3,3,2,0.1,13,3081,94,3175
E05002767,Elton and Folksworth,Huntingdonshire,2461,29,1,100,4,7,7,7,24,2,0,1,7,3,1,0,0,13,2591,76,2667
E05008577,Fenstanton,Huntingdonshire,2949,29,0,133,7,11,17,17,15,16,3,6,19,10,4,3,0.1,3,3111,131,3242
E05002769,Godmanchester,Huntingdonshire,5990,58,6,312,21,22,51,33,50,7,12,34,31,23,18,21,0.3,22,6366,345,6711
E05008528,Gransden and The Offords,Huntingdonshire,4266,22,9,93,3,12,22,29,5,0,0,11,13,2,8,6,0.1,6,4390,117,4507
E05002771,Huntingdon East,Huntingdonshire,8058,94,7,679,26,33,55,59,112,75,10,51,124,60,27,23,0.2,39,8838,694,9532
E05002772,Huntingdon North,Huntingdonshire,4726,64,22,907,40,72,26,55,123,225,37,27,151,149,34,42,0.6,26,5719,1007,6726
E05008529,Huntingdon West,Huntingdonshire,5733,56,4,723,25,46,61,44,196,43,37,59,154,113,31,53,0.7,96,6516,958,7474
E05008578,Kimbolton and Staughton,Huntingdonshire,3142,11,5,103,12,7,3,14,8,5,0,13,15,12,2,1,0,0,3261,92,3353
E05008579,Little Paxton,Huntingdonshire,3075,10,11,72,8,7,6,8,7,2,0,7,9,14,1,0,0,7,3168,76,3244
E05008531,Ramsey,Huntingdonshire,7940,33,2,257,8,23,18,21,42,5,11,14,45,25,10,11,0.1,14,8232,247,8479
E05002784,Sawtry,Huntingdonshire,6140,33,5,162,17,23,23,32,32,0,0,4,24,8,8,12,0.2,13,6340,196,6536
E05008583,Somersham,Huntingdonshire,5619,28,12,137,8,18,18,22,7,5,0,18,11,14,4,2,0,12,5796,139,5935
E05002777,St Ives East,Huntingdonshire,6026,27,2,434,13,27,58,27,29,114,69,14,55,62,22,8,0.1,12,6489,510,6999
E05008580,St Ives South,Huntingdonshire,5488,40,6,342,9,22,37,32,69,300,49,29,35,15,11,4,0.1,27,5876,639,6515
E05002779,St Ives West,Huntingdonshire,2587,13,0,91,4,19,16,10,19,33,52,2,12,1,6,2,0.1,3,2691,179,2870
E05008581,St Neots Eaton Ford,Huntingdonshire,6307,65,3,233,14,9,31,15,38,10,0,17,30,27,9,3,0,4,6608,207,6815
E05002781,St Neots Eaton Socon,Huntingdonshire,5290,44,7,185,4,38,23,8,25,12,0,16,23,9,12,3,0.1,5,5526,178,5704
E05008533,St Neots Eynesbury,Huntingdonshire,9661,60,14,332,27,72,37,24,40,15,6,48,47,57,22,6,0.1,9,10067,410,10477
E05008582,St Neots Priory Park,Huntingdonshire,7202,77,15,388,17,38,60,42,48,36,13,63,64,58,12,17,0.2,19,7682,487,8169
E05002786,Stilton,Huntingdonshire,2952,19,3,66,1,8,8,10,5,1,0,1,6,3,6,0,0,2,3040,51,3091
E05008535,The Hemingfords,Huntingdonshire,5601,55,18,184,11,4,22,25,25,13,10,9,20,7,6,13,0.2,13,5858,178,6036
E05008584,Upwood and The Raveleys,Huntingdonshire,3130,21,7,119,8,7,15,14,12,11,0,7,57,20,2,3,0.1,7,3277,163,3440
E05008537,Warboys and Bury,Huntingdonshire,5980,28,4,161,5,20,13,21,23,10,1,25,22,8,11,9,0.1,13,6173,181,6354
E05002790,Yaxley and Farcet,Huntingdonshire,10141,56,6,314,20,78,35,34,81,41,0,46,48,48,51,15,0.1,27,10517,524,11041
E05002791,Balsham,South Cambridgeshire,4403,34,3,116,5,9,22,18,17,3,1,9,10,9,9,4,0.1,10,4556,126,4682
E05002792,Bar Hill,South Cambridgeshire,4384,35,2,277,8,9,33,33,48,23,20,55,56,29,7,7,0.1,22,4698,350,5048
E05002793,Barton,South Cambridgeshire,2144,33,1,205,10,3,18,11,36,11,4,7,13,4,0,1,0,5,2383,123,2506
E05002794,Bassingbourn,South Cambridgeshire,4695,25,27,169,1,24,23,18,12,4,9,6,27,18,10,8,0.2,12,4916,172,5088
E05002795,Bourn,South Cambridgeshire,8130,81,22,707,37,81,92,78,419,63,29,176,148,132,32,24,0.2,83,8940,1394,10334
E05002796,Caldecote,South Cambridgeshire,2169,18,1,127,1,5,17,15,33,10,0,37,16,7,3,6,0.2,13,2315,163,2478
E05002797,Comberton,South Cambridgeshire,2099,16,6,121,4,6,15,13,21,3,0,18,4,6,8,3,0.1,3,2242,104,2346
E05002798,Cottenham,South Cambridgeshire,7263,41,25,362,17,23,51,32,64,10,7,23,70,32,15,8,0.1,27,7691,379,8070
