Ward Code,Ward,Local Authority,Residents with very good general health in the previous year,Residents with good general health in the previous year,Residents with fair general health in the previous year,Residents with bad or very bad general health in the previous year,Residents with a long-term activity-limiting illness,Residents providing 1-19 hours of unpaid care per week,Residents providing 20-49 hours of unpaid care per week,Residents providing 50+ hours of unpaid care per week,Total residents providing unpaid care
E05002702,Abbey,Cambridge,4847,3409,1150,501,1498,528,102,183,813
E05002703,Arbury,Cambridge,4379,3150,1114,427,1469,541,94,191,826
E05002704,Castle,Cambridge,6402,2679,536,168,776,511,41,56,608
E05002705,Cherry Hinton,Cambridge,4175,3145,1068,392,1452,598,116,174,888
E05002706,Coleridge,Cambridge,5023,2941,1017,405,1311,466,80,143,689
E05002707,East Chesterton,Cambridge,4542,3205,1207,451,1571,529,108,169,806
E05002708,King's Hedges,Cambridge,4125,3339,1165,513,1555,501,108,151,760
E05002709,Market,Cambridge,4653,1993,374,130,530,326,19,39,384
E05002710,Newnham,Cambridge,5145,2176,432,114,622,449,22,48,519
E05002711,Petersfield,Cambridge,4906,2590,614,223,753,478,48,52,578
E05002712,Queen Edith's,Cambridge,5132,2886,852,257,1175,709,87,111,907
E05002713,Romsey,Cambridge,5160,2927,863,302,1082,429,72,90,591
E05002714,Trumpington,Cambridge,4421,2450,847,316,1158,466,78,100,644
E05002715,West Chesterton,Cambridge,4833,2710,782,304,1112,615,67,82,764
E05002716,Bottisham,East Cambridgeshire,1972,1313,493,236,759,336,36,82,454
E05002717,Burwell,East Cambridgeshire,3252,2137,693,227,1022,491,73,114,678
E05002718,Cheveley,East Cambridgeshire,2053,1393,500,156,622,272,42,81,395
E05002719,Downham Villages,East Cambridgeshire,2063,1581,577,203,751,355,65,110,530
E05002720,Dullingham Villages,East Cambridgeshire,1241,741,214,57,257,157,19,30,206
E05002721,Ely East,East Cambridgeshire,1842,1462,547,179,711,293,38,72,403
E05002722,Ely North,East Cambridgeshire,3799,2534,753,232,938,450,49,133,632
E05002723,Ely South,East Cambridgeshire,2475,1495,380,103,462,246,32,53,331
E05002724,Ely West,East Cambridgeshire,2066,1564,634,191,827,328,46,99,473
E05002725,Fordham Villages,East Cambridgeshire,1871,1288,445,164,580,255,49,89,393
E05002726,Haddenham,East Cambridgeshire,2784,2209,699,237,866,458,66,91,615
E05002727,Isleham,East Cambridgeshire,1174,840,291,73,343,179,31,45,255
E05002728,Littleport East,East Cambridgeshire,2214,2014,774,289,976,334,72,143,549
E05002729,Littleport West,East Cambridgeshire,1617,1244,428,158,544,189,49,104,342
E05002730,Soham North,East Cambridgeshire,2660,1742,595,173,654,280,56,77,413
E05002731,Soham South,East Cambridgeshire,3024,2328,889,288,1075,409,90,107,606
E05002732,Stretham,East Cambridgeshire,1910,1431,482,148,624,278,53,75,406
E05002733,Sutton,East Cambridgeshire,1852,1473,494,133,589,257,45,86,388
E05002734,The Swaffhams,East Cambridgeshire,1005,698,243,79,302,158,16,46,220
E05002735,Bassenhally,Fenland,599,652,223,74,293,117,18,41,176
E05002736,"Benwick, Coates and Eastrea",Fenland,2016,1641,598,195,682,316,48,105,469
E05002737,Birch,Fenland,1022,928,386,176,543,170,40,100,310
E05002738,Clarkson,Fenland,911,931,351,138,458,117,47,56,220
E05002739,Delph,Fenland,878,763,273,88,356,149,21,48,218
E05002740,Doddington,Fenland,949,784,321,127,415,158,25,65,248
E05002741,Elm and Christchurch,Fenland,1887,1803,779,326,1051,315,80,170,565
E05002742,Hill,Fenland,1999,2033,896,380,1185,268,80,165,513
E05002743,Kingsmoor,Fenland,679,668,242,108,310,105,35,52,192
E05002744,Kirkgate,Fenland,858,874,418,150,518,127,35,87,249
E05002745,Lattersey,Fenland,982,890,436,152,548,143,26,79,248
E05002746,Manea,Fenland,946,764,275,103,343,119,24,59,202
E05002747,March East,Fenland,2710,2854,1329,537,1718,470,132,231,833
