Ward Code,Ward,Local Authority,All Usual Residents Aged 16 and Over,No Qualifications,Level 1 Qualifications,Level 2 Qualifications,Apprenticeship,Level 3 Qualifications,Level 4 Qualifications and Above,Other Qualifications
E05002702,Abbey,Cambridge,8024,1618,956,871,244,769,2903,663
E05002703,Arbury,Cambridge,7629,1383,682,767,209,703,3248,637
E05002704,Castle,Cambridge,9129,336,209,470,77,3836,3822,379
E05002705,Cherry Hinton,Cambridge,7135,1369,731,868,290,665,2699,513
E05002706,Coleridge,Cambridge,7916,1186,626,806,225,969,3475,629
E05002707,East Chesterton,Cambridge,7796,1455,760,821,167,686,3331,576
E05002708,King's Hedges,Cambridge,7507,1660,947,925,247,728,2362,638
E05002709,Market,Cambridge,6742,191,160,323,22,2741,2990,315
E05002710,Newnham,Cambridge,7101,120,104,326,13,2336,3924,278
E05002711,Petersfield,Cambridge,7300,411,346,493,41,1083,4424,502
E05002712,Queen Edith's,Cambridge,7604,762,446,684,139,1074,4106,393
E05002713,Romsey,Cambridge,8057,860,440,605,146,1072,4434,500
E05002714,Trumpington,Cambridge,6688,659,508,655,98,614,3788,366
E05002715,West Chesterton,Cambridge,7379,596,379,545,106,667,4663,423
E05002716,Bottisham,East Cambridgeshire,3287,622,322,454,150,357,1237,145
E05002717,Burwell,East Cambridgeshire,5041,940,623,808,274,583,1622,191
E05002718,Cheveley,East Cambridgeshire,3407,728,391,525,187,389,1034,153
E05002719,Downham Villages,East Cambridgeshire,3616,803,550,635,151,420,886,171
E05002720,Dullingham Villages,East Cambridgeshire,1809,315,215,293,75,215,601,95
E05002721,Ely East,East Cambridgeshire,3443,668,314,439,91,352,1347,232
E05002722,Ely North,East Cambridgeshire,5631,997,693,835,182,609,1947,368
E05002723,Ely South,East Cambridgeshire,3369,404,401,495,104,405,1351,209
E05002724,Ely West,East Cambridgeshire,3686,765,458,542,109,367,1232,213
E05002725,Fordham Villages,East Cambridgeshire,3069,680,417,481,142,335,841,173
E05002726,Haddenham,East Cambridgeshire,4750,997,641,816,227,566,1305,198
E05002727,Isleham,East Cambridgeshire,1899,432,236,292,111,237,471,120
E05002728,Littleport East,East Cambridgeshire,4326,1243,639,685,193,475,785,306
E05002729,Littleport West,East Cambridgeshire,2680,730,442,472,111,327,446,152
E05002730,Soham North,East Cambridgeshire,4061,833,657,690,198,521,912,250
E05002731,Soham South,East Cambridgeshire,5340,1420,756,866,220,605,1076,397
E05002732,Stretham,East Cambridgeshire,3221,677,424,469,167,386,951,147
E05002733,Sutton,East Cambridgeshire,3207,587,507,521,164,397,870,161
E05002734,The Swaffhams,East Cambridgeshire,1639,286,158,238,72,154,669,62
E05002735,Bassenhally,Fenland,1307,374,223,238,70,143,193,66
E05002736,"Benwick, Coates and Eastrea",Fenland,3606,889,596,661,174,471,653,162
E05002737,Birch,Fenland,2035,637,295,367,86,213,323,114
E05002738,Clarkson,Fenland,1873,600,281,264,49,153,260,266
E05002739,Delph,Fenland,1636,388,250,324,90,227,299,58
E05002740,Doddington,Fenland,1807,445,271,346,94,204,351,96
E05002741,Elm and Christchurch,Fenland,3953,1244,579,699,175,443,603,210
E05002742,Hill,Fenland,4419,1449,609,726,146,412,547,530
E05002743,Kingsmoor,Fenland,1331,464,242,239,41,145,144,56
E05002744,Kirkgate,Fenland,1938,675,302,310,67,153,254,177
E05002745,Lattersey,Fenland,2018,662,330,336,91,217,305,77
E05002746,Manea,Fenland,1672,460,293,277,62,217,289,74
E05002747,March East,Fenland,6174,2046,926,1021,255,652,820,454
E05002748,March North,Fenland,6417,1848,1105,1221,226,728,896,393
E05002749,March West,Fenland,5894,1866,908,1025,266,566,933,330
E05002750,Medworth,Fenland,2270,859,294,279,64,139,285,350
E05002751,Parson Drove and Wisbech St Mary,Fenland,4001,1339,615,655,142,416,638,196
E05002752,Peckover,Fenland,1943,571,299,315,67,187,344,160
E05002753,Roman Bank,Fenland,5369,1845,765,858,225,538,825,313
E05002756,Slade Lode,Fenland,2057,506,357,363,59,264,375,133
E05002754,St Andrews,Fenland,2126,618,379,340,138,248,320,83
E05002755,St Marys,Fenland,2134,609,365,355,123,239,356,87
E05002757,Staithe,Fenland,1963,715,333,338,64,154,187,172
E05002758,The Mills,Fenland,2247,604,364,391,93,271,396,128
E05002759,Waterlees,Fenland,4317,1711,663,669,109,313,340,512
E05002760,Wenneye,Fenland,2145,564,340,384,93,243,424,97
E05002761,Wimblington,Fenland,1830,535,269,322,104,195,317,88
E05008525,Alconbury and The Stukeleys,Huntingdonshire,3026,607,361,458,119,319,878,284
E05002763,Brampton,Huntingdonshire,6154,1070,889,1008,225,724,1936,302
E05008526,Buckden,Huntingdonshire,2700,458,290,462,102,321,939,128
E05008527,Earith,Huntingdonshire,4975,781,647,847,206,633,1692,169
E05008576,Ellington,Huntingdonshire,2536,393,232,407,73,305,1019,107
E05002767,Elton and Folksworth,Huntingdonshire,2224,379,276,363,83,284,746,93
E05008577,Fenstanton,Huntingdonshire,2646,431,361,435,111,349,839,120
E05002769,Godmanchester,Huntingdonshire,5371,913,659,925,161,649,1817,247
E05008528,Gransden and The Offords,Huntingdonshire,3619,526,451,564,142,406,1400,130
E05002771,Huntingdon East,Huntingdonshire,7841,1806,1243,1234,264,844,1967,483
E05002772,Huntingdon North,Huntingdonshire,4971,1374,908,806,99,510,735,539
E05008529,Huntingdon West,Huntingdonshire,5815,768,755,964,125,753,2018,432
E05008578,Kimbolton and Staughton,Huntingdonshire,2684,366,320,459,97,316,1029,97
E05008579,Little Paxton,Huntingdonshire,2700,524,422,451,147,338,709,109
E05008531,Ramsey,Huntingdonshire,6965,1726,1103,1242,261,867,1471,295
E05002784,Sawtry,Huntingdonshire,5318,1015,783,1020,204,749,1318,229
E05008583,Somersham,Huntingdonshire,4846,893,719,838,202,639,1364,191
E05002777,St Ives East,Huntingdonshire,5598,846,943,1071,224,801,1418,295
E05008580,St Ives South,Huntingdonshire,5453,1171,727,777,198,589,1636,355
E05002779,St Ives West,Huntingdonshire,2382,488,339,412,112,309,630,92
E05008581,St Neots Eaton Ford,Huntingdonshire,5611,933,816,969,277,770,1596,250
E05002781,St Neots Eaton Socon,Huntingdonshire,4686,1207,771,755,205,572,917,259
E05008533,St Neots Eynesbury,Huntingdonshire,8433,1854,1535,1514,344,1084,1682,420
E05008582,St Neots Priory Park,Huntingdonshire,6503,1359,1000,1073,219,781,1755,316
E05002786,Stilton,Huntingdonshire,2478,373,371,454,134,333,702,111
E05008535,The Hemingfords,Huntingdonshire,5035,734,527,749,172,557,2105,191
