Ward Code,Ward,Local Authority,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
E05002702,Abbey,Cambridge,4489,134,133,17,503,16,62,3738,815
E05002703,Arbury,Cambridge,4111,107,95,44,569,14,56,3215,859
E05002704,Castle,Cambridge,3671,152,195,163,206,30,68,4312,988
E05002705,Cherry Hinton,Cambridge,5008,86,267,16,358,17,37,2266,725
E05002706,Coleridge,Cambridge,4449,143,206,30,506,15,45,3219,773
E05002707,East Chesterton,Cambridge,4334,86,104,24,472,4,62,3501,818
E05002708,King's Hedges,Cambridge,4454,61,159,18,535,17,48,3100,750
E05002709,Market,Cambridge,2757,121,84,113,152,14,46,3215,648
E05002710,Newnham,Cambridge,3182,112,123,131,172,18,50,3266,813
E05002711,Petersfield,Cambridge,3071,131,96,67,328,22,54,3782,782
E05002712,Queen Edith's,Cambridge,4598,100,265,64,315,8,48,2937,792
E05002713,Romsey,Cambridge,3780,116,119,30,373,17,54,3912,851
E05002714,Trumpington,Cambridge,3873,121,115,98,232,8,24,2782,781
E05002715,West Chesterton,Cambridge,3737,103,97,55,176,13,49,3594,805
E05002716,Bottisham,East Cambridgeshire,2571,15,8,12,20,2,11,1059,316
E05002717,Burwell,East Cambridgeshire,3903,10,2,7,16,8,18,1854,491
E05002718,Cheveley,East Cambridgeshire,2767,8,1,4,18,5,8,957,334
E05002719,Downham Villages,East Cambridgeshire,2837,8,7,8,8,9,15,1204,328
E05002720,Dullingham Villages,East Cambridgeshire,1464,9,2,6,2,3,5,592,170
E05002721,Ely East,East Cambridgeshire,2412,39,10,7,26,5,29,1157,345
E05002722,Ely North,East Cambridgeshire,4365,38,22,18,73,16,39,2193,554
E05002723,Ely South,East Cambridgeshire,2543,30,8,6,28,12,11,1440,375
E05002724,Ely West,East Cambridgeshire,2725,26,5,11,28,14,15,1251,380
E05002725,Fordham Villages,East Cambridgeshire,2561,5,8,4,6,5,19,891,269
E05002726,Haddenham,East Cambridgeshire,3780,17,18,9,5,0,19,1585,496
