"NAME","Jan 2014 - Dec 2014","Apr 2014 - Mar 2015","Jul 2014 - Jun 2015","Oct 2014 - Sep 2015","Jan 2015 - Dec 2015","Apr 2015 - Mar 2016","Jul 2015 - Jun 2016","Oct 2015 - Sep 2016","Jan 2016 - Dec 2016","Apr 2016 - Mar 2017","Jul 2016 - Jun 2017","Oct 2016 - Sep 2017","Jan 2017 - Dec 2017","Apr 2017 - Mar 2018","Jul 2017 - Jun 2018","Oct 2017 - Sep 2018","Jan 2018 - Dec 2018","Apr 2018 - Mar 2019","Jul 2018 - Jun 2019","Oct 2018 - Sep 2019","Jan 2019 - Dec 2019","Apr 2019 - Mar 2020","Jul 2019 - Jun 2020","Oct 2019 - Sep 2020"
"Abbey",307046,319164,335936,349681,346037,341013,338512,321922,332510,347865,365474,384914,399431,393395,381531,378534,380293,372131,383168,378085,378888,379690,362753,373014
"Arbury",311585,338043,348177,369381,381335,391521,417729,409080,411853,417625,388282,419680,441992,451911,465786,443822,443677,435627,422404,430298,414978,413159,433809,423358
"Castle",434135,420427,420618,431362,456549,571149,573688,580616,609785,530163,508468,480825,505730,527288,651031,700267,644229,652898,578253,549295,572153,546374,524625,559951
"Cherry Hinton",306248,315299,326806,337220,342915,356006,362628,371371,378725,374450,375040,376582,375883,385047,379359,368705,361772,367631,380722,392484,411668,395873,385073,382693
"Coleridge",347633,365495,365238,395629,388794,386789,380872,379658,391914,397772,411254,426016,434509,439460,436347,444889,430291,413118,413645,384907,392049,393976,403684,414129
"East Chesterton",293547,310314,341124,363021,389174,392619,369870,372896,354708,359736,403088,444338,436101,437322,399572,367271,382830,399941,414274,411580,409121,379958,384073,401643
"King's Hedges",252535,270293,309955,316366,334739,343466,315196,312012,319659,319734,330823,342800,339047,332040,332365,324998,330302,335493,342231,355895,344856,350971,338573,334815
"Market",619543,715341,676777,595381,598572,532815,538635,545431,557603,603173,574751,595061,566692,534593,567145,549826,650767,699623,727163,746091,723080,695784,665007,635776
"Newnham",929487,839084,837891,831660,985878,1064689,1021274,1054048,927444,858380,896508,920392,904658,905067,824906,744016,759903,807983,838253,963540,979152,1038629,1126740,1016469
"Petersfield",453676,488629,507725,508141,537916,551898,527394,497409,475195,461154,478967,541407,562374,567987,566904,591605,543426,550070,537795,518430,546602,530893,542637,544746
